Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
Coal India Limited (NSEI:COALINDIA),NSEI:COALINDIA,India,Emerging,Coal and Consumable Fuels,Resources/Process Material,Energy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,554 ","$4,180 ","$4,648 ","$4,753 ","$5,227 ","$6,875 ","$7,061 ","$7,878 ","$9,342 ","$10,234 ","$10,307 ","$10,962 ","$11,304 ","$11,304 "
Jacobs Engineering Group Inc. (NYSE:JEC),NYSE:JEC,United States,North America,Construction and Engineering,Engineering,Construction,"$2,101 ","$2,875 ","$3,419 ","$3,957 ","$4,556 ","$4,616 ","$4,594 ","$5,635 ","$7,421 ","$8,474 ","$11,252 ","$11,467 ","$9,916 ","$10,382 ","$10,894 ","$11,818 ","$12,695 ","$12,115 ","$10,964 ","$10,668 "
Xcel Energy Inc. (NYSE:XEL),NYSE:XEL,United States,North America,Electric Utilities,Services,Utilities,"$3,001 ","$3,382 ","$11,409 ","$14,811 ","$9,453 ","$7,938 ","$8,345 ","$9,625 ","$9,840 ","$10,034 ","$11,203 ","$9,644 ","$10,311 ","$10,655 ","$10,128 ","$10,915 ","$11,686 ","$11,024 ",$0 ,"$11,107 "
Technip SA (ENXTPA:TEC),ENXTPA:TEC,France,Europe,Oil and Gas Equipment and Services,Resources/Process Material,Oil & Gas,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) 
Lennar Corporation (NYSE:LEN),NYSE:LEN,United States,North America,Homebuilding,Engineering,Construction,"$2,417 ","$3,119 ","$4,707 ","$6,029 ","$7,320 ","$8,908 ","$10,505 ","$13,867 ","$16,267 ","$10,187 ","$4,575 ","$3,119 ","$3,074 ","$3,095 ","$4,105 ","$5,935 ","$7,780 ","$9,474 ","$10,950 ","$10,950 "
Tenaga Nasional Berhad (KLSE:TENAGA),KLSE:TENAGA,Malaysia,Asia-Pacific,Electric Utilities,Services,Utilities,"$2,573 ","$2,723 ","$3,085 ","$3,230 ","$3,458 ","$3,701 ","$3,983 ","$4,268 ","$4,584 ","$5,245 ","$5,791 ","$6,474 ","$6,819 ","$7,243 ","$8,062 ","$8,351 ","$9,624 ","$9,728 ","$10,015 ","$10,142 "
Tokyu Corporation (TSE:9005),TSE:9005,Japan,Asia-Pacific,Railroads,Auto & Transportation,Highways and Railtracks,"$4,239 ","$5,013 ","$8,701 ","$8,855 ","$9,251 ","$12,113 ","$10,696 ","$9,229 ","$12,140 ","$12,082 ","$12,003 ","$11,403 ","$10,755 ","$10,073 ","$9,566 ","$9,338 ","$9,469 ","$9,303 ","$9,542 ","$9,805 "
Publicis Groupe S.A. (ENXTPA:PUB),ENXTPA:PUB,France,Europe,Advertising,TIME,Advertising,$895 ,"$1,097 ","$1,862 ","$2,561 ","$3,078 ","$4,064 ","$4,024 ","$4,342 ","$4,614 ","$4,914 ","$4,949 ","$4,760 ","$5,700 ","$6,119 ","$6,954 ","$7,315 ","$7,633 ","$10,203 ",$0 ,"$10,323 "
Hyosung Corporation (KOSE:A004800),KOSE:A004800,South Korea,Asia-Pacific,Commodity Chemicals,Resources/Process Material,Chemicals,"$2,113 ","$3,852 ","$3,901 ","$4,213 ","$4,008 ","$4,522 ","$4,967 ","$4,919 ","$5,102 ","$6,216 ","$8,369 ","$8,725 ","$10,105 ","$9,887 ","$10,994 ","$10,966 ","$10,615 ","$10,879 ",$0 ,"$10,438 "
"Group 1 Automotive, Inc. (NYSE:GPI)",NYSE:GPI,United States,North America,Automotive Retail,Services,Retail,"$1,630 ","$2,508 ","$3,586 ","$3,996 ","$4,214 ","$4,519 ","$5,435 ","$5,970 ","$6,083 ","$6,393 ","$5,654 ","$4,526 ","$5,509 ","$6,080 ","$7,476 ","$8,919 ","$9,938 ","$10,633 ","$10,888 ","$10,888 "
