Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
"PAL Group Holdings Co.,Ltd. (TSE:2726)",TSE:2726,Japan,Asia-Pacific,Apparel Retail,Services,Retail,$0 ,$0 ,$98 ,$111 ,$140 ,$171 ,$218 ,$267 ,$386 ,$485 ,$536 ,$581 ,$611 ,$677 ,$746 ,$809 ,$875 ,$942 ,"$1,000 ","$1,021 "
"Ruby Tuesday, Inc. (NYSE:RT)",NYSE:RT,United States,North America,Restaurants,Services,Restaurants,$711 ,$722 ,$797 ,$790 ,$833 ,$914 ,"$1,041 ","$1,110 ","$1,306 ","$1,410 ","$1,360 ","$1,249 ","$1,195 ","$1,265 ","$1,326 ","$1,251 ","$1,169 ","$1,127 ","$1,091 ","$1,022 "
"Oxford Industries, Inc. (NYSE:OXM)",NYSE:OXM,United States,North America,"Apparel, Accessories and Luxury Goods",Services,Retail,$775 ,$862 ,$840 ,$812 ,$677 ,$765 ,"$1,117 ","$1,314 ","$1,109 ","$1,129 ","$1,044 ",$948 ,$801 ,$604 ,$759 ,$856 ,$917 ,$998 ,$969 ,"$1,021 "
Shell Oman Marketing Company SAOG (MSM:SOMS),MSM:SOMS,Oman,Rest of World,Oil and Gas Refining and Marketing,Resources/Process Material,Oil & Gas,$0 ,$0 ,$0 ,$395 ,$437 ,$416 ,$363 ,$477 ,$588 ,$644 ,$848 ,$775 ,$841 ,$932 ,"$1,048 ","$1,118 ",$939 ,$873 ,"$1,021 ","$1,021 "
GS Home Shopping Inc. (KOSDAQ:A028150),KOSDAQ:A028150,South Korea,Asia-Pacific,Internet and Direct Marketing Retail,TIME,Online Retail,$0 ,$0 ,$525 ,$927 ,"$1,573 ",$470 ,$440 ,$485 ,$571 ,$590 ,$598 ,$708 ,$713 ,$803 ,$893 ,$915 ,$946 ,$980 ,$0 ,$978 
Yes Bank Limited (BSE:532648),BSE:532648,India,Emerging,Diversified Banks,Services,Financial Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$4 ,$26 ,$50 ,$97 ,$132 ,$184 ,$265 ,$357 ,$488 ,$610 ,$792 ,"$1,012 ","$1,012 "
"Mitsui Sugar Co., Ltd. (TSE:2109)",TSE:2109,Japan,Asia-Pacific,Packaged Foods and Meats,Resources/Process Material,Food,$366 ,$345 ,$325 ,$300 ,$356 ,$348 ,$416 ,$419 ,$645 ,$667 ,$687 ,$674 ,$686 ,$706 ,$700 ,$841 ,$847 ,$838 ,$886 ,$902 
Monadelphous Group Limited (ASX:MND),ASX:MND,Australia,Asia-Pacific,Construction and Engineering,Engineering,Construction,$101 ,$125 ,$122 ,$98 ,$117 ,$185 ,$167 ,$296 ,$405 ,$734 ,$727 ,$854 ,$970 ,"$1,098 ","$1,443 ","$1,983 ","$1,768 ","$1,419 ","$1,037 ",$952 
Bremer Lagerhaus Gesellschaft Aktiengesellschaft von 1877 (DB:BLH),DB:BLH,Germany,Europe,Marine Ports and Services,Services,Freight & Logistics,$261 ,$295 ,$342 ,$397 ,$558 ,$597 ,$669 ,$738 ,$799 ,$936 ,"$1,013 ",$861 ,$944 ,"$1,061 ","$1,204 ","$1,242 ",$929 ,$997 ,$0 ,$987 
Cyrela Brazil Realty S.A. Empreendimentos e Participações (BOVESPA:CYRE3),BOVESPA:CYRE3,Brazil,Emerging,Homebuilding,Engineering,Construction,$31 ,$49 ,$50 ,$49 ,$47 ,$42 ,$70 ,$221 ,$358 ,$547 ,$912 ,"$1,309 ","$1,566 ","$1,962 ","$1,869 ","$1,720 ","$1,863 ","$1,372 ",$0 ,"$1,059 "
Tianjin Zhongxin Pharmaceutical Group Corporation Limited (SGX:T14),SGX:T14,China,Asia-Pacific,Pharmaceuticals,Resources/Process Material,Pharma,$42 ,$60 ,$119 ,$221 ,$267 ,$300 ,$307 ,$365 ,$0 ,$328 ,$343 ,$418 ,$504 ,$638 ,$745 ,$873 ,"$1,029 ","$1,024 ",$0 ,$987 
Banque Cantonale Vaudoise (SWX:BCVN),SWX:BCVN,Switzerland,Europe,Regional Banks,Services,Financial Services,$0 ,$678 ,$750 ,($382),($322),$856 ,$894 ,"$1,010 ","$1,081 ","$1,066 ",$902 ,$947 ,$979 ,$986 ,$995 ,$937 ,$948 ,"$1,017 ",$0 ,$982 
"DXP Enterprises, Inc. (NasdaqGS:DXPE)",NasdaqGS:DXPE,United States,North America,Trading Companies and Distributors,Services,Trading & Distribution,$203 ,$180 ,$183 ,$174 ,$148 ,$151 ,$161 ,$185 ,$280 ,$445 ,$737 ,$583 ,$656 ,$807 ,"$1,097 ","$1,242 ","$1,500 ","$1,247 ",$0 ,"$1,018 "
Interpump Group S.p.A. (BIT:IP),BIT:IP,Italy,Europe,Industrial Machinery,Engineering,Equipment Mech./Industrial,$299 ,$338 ,$435 ,$451 ,$524 ,$531 ,$566 ,$349 ,$384 ,$455 ,$447 ,$361 ,$447 ,$497 ,$555 ,$585 ,$707 ,$951 ,$0 ,$953 
Universal Entertainment Corporation (JASDAQ:6425),JASDAQ:6425,Japan,Asia-Pacific,Leisure Products,Resources/Process Material,Personal & Household,$642 ,$868 ,"$1,391 ","$1,777 ",$946 ,"$1,206 ",$884 ,$633 ,$424 ,$318 ,$631 ,$175 ,$346 ,$394 ,$654 ,$867 ,$759 ,$768 ,$802 ,"$1,059 "
"Affinion Group Holdings, Inc. (OTCPK:AFGR)",OTCPK:AFGR,United States,North America,Advertising,TIME,Advertising,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,531 ","$1,199 ","$1,138 ","$1,321 ","$1,410 ","$1,377 ","$1,376 ","$1,535 ","$1,495 ","$1,335 ","$1,243 ","$1,170 ",$0 ,"$1,018 "
"Motech Industries, Inc. (GTSM:6244)",GTSM:6244,Taiwan,Asia-Pacific,Semiconductors,TIME,Tech HW Equipment,$0 ,$0 ,$0 ,$0 ,$17 ,$37 ,$79 ,$144 ,$266 ,$507 ,$739 ,$588 ,"$1,260 ",$913 ,$483 ,$691 ,$647 ,$803 ,$0 ,"$1,033 "
"Shenzhen Gongjin Electronics Co., Ltd. (SHSE:603118)",SHSE:603118,China,Asia-Pacific,Communications Equipment,TIME,Telecome Operators,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$567 ,$725 ,$723 ,$801 ,$945 ,$0 ,$986 
K. Wah International Holdings Limited (SEHK:173),SEHK:173,Hong Kong,Asia-Pacific,Diversified Real Estate Activities,Services,Real Estate,$173 ,$185 ,$229 ,$293 ,$275 ,$396 ,$223 ,$37 ,$36 ,$618 ,$149 ,$353 ,$115 ,$412 ,$431 ,$939 ,$308 ,$608 ,$0 ,"$1,017 "
"Huayi Compressor Co., Ltd. (SZSE:000404)",SZSE:000404,China,Asia-Pacific,Industrial Machinery,Engineering,Equipment Mech./Industrial,$19 ,$25 ,$29 ,$27 ,$63 ,$97 ,$142 ,$184 ,$253 ,$386 ,$447 ,$473 ,$670 ,$779 ,$813 ,$974 ,"$1,017 ",$992 ,$0 ,$985 
"Fuji Kiko Co., Ltd. (TSE:7260)",TSE:7260,Japan,Asia-Pacific,Auto Parts and Equipment,Auto & Transportation,Tier 1,$538 ,$487 ,$497 ,$507 ,$471 ,$526 ,$583 ,$703 ,$818 ,$930 ,"$1,017 ",$813 ,$740 ,$802 ,$849 ,$901 ,$909 ,$933 ,$912 ,$952 
"Shenzhen MTC Co., Ltd. (SZSE:002429)",SZSE:002429,China,Asia-Pacific,Consumer Electronics,TIME,Tech HW Equipment,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$295 ,$269 ,$413 ,$438 ,$650 ,$938 ,$984 ,"$1,032 ",$882 ,$0 ,$985 
Countrywide plc (LSE:CWD),LSE:CWD,United Kingdom,Europe,Real Estate Services,Services,Real Estate,$315 ,$403 ,$378 ,$436 ,$804 ,$738 ,$582 ,$648 ,$803 ,$777 ,$511 ,$542 ,$576 ,$614 ,$649 ,$718 ,$862 ,$896 ,$0 ,$940 
Kudelski SA (SWX:KUD),SWX:KUD,Switzerland,Europe,Electronic Equipment and Instruments,TIME,Tech HW Equipment,$111 ,$212 ,$355 ,$450 ,$398 ,$408 ,$612 ,$679 ,$687 ,$915 ,"$1,016 ","$1,041 ","$1,024 ",$864 ,$835 ,$833 ,$870 ,$932 ,"$1,037 ","$1,037 "
ShawCor Ltd. (TSX:SCL),TSX:SCL,Canada,North America,Oil and Gas Equipment and Services,Resources/Process Material,Oil & Gas,$575 ,$405 ,$349 ,$515 ,$522 ,$616 ,$645 ,$750 ,$792 ,$783 ,"$1,031 ",$885 ,$773 ,$865 ,"$1,108 ","$1,381 ","$1,412 ","$1,346 ",$0 ,$998 
"Align Technology, Inc. (NasdaqGS:ALGN)",NasdaqGS:ALGN,United States,North America,Healthcare Supplies,Services,Health Care,$0 ,$0 ,$7 ,$46 ,$75 ,$123 ,$173 ,$207 ,$206 ,$284 ,$304 ,$312 ,$387 ,$480 ,$560 ,$653 ,$761 ,$845 ,$0 ,"$1,017 "
Juki Corporation (TSE:6440),TSE:6440,Japan,Asia-Pacific,Industrial Machinery,Engineering,Equipment Mech./Industrial,"$1,175 ","$1,078 ","$1,090 ","$1,194 ",$998 ,"$1,037 ","$1,055 ","$1,119 ","$1,091 ","$1,228 ","$1,140 ",$680 ,$498 ,$775 ,$663 ,$825 ,$941 ,$984 ,$0 ,$900 
Masraf Al Rayan (Q.S.C.) (DSM:MARK),DSM:MARK,Qatar,Rest of World,Diversified Banks,Services,Financial Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$49 ,$368 ,$378 ,$428 ,$530 ,$633 ,$697 ,$739 ,$842 ,$904 ,"$1,031 ","$1,031 "
"Elitegroup Computer Systems Co.,Ltd. (TSEC:2331)",TSEC:2331,Taiwan,Asia-Pacific,"Technology Hardware, Storage and Peripherals",TIME,Tech HW Equipment,$403 ,$471 ,$670 ,"$1,084 ","$2,192 ","$1,978 ","$1,288 ","$1,289 ","$2,353 ","$3,058 ","$2,906 ","$2,375 ","$2,198 ","$2,354 ","$2,168 ","$2,054 ","$1,810 ","$1,570 ",$0 ,"$1,030 "
ALS Limited (ASX:ALQ),ASX:ALQ,Australia,Asia-Pacific,Research and Consulting Services,Services,Financial Services,$134 ,$152 ,$206 ,$243 ,$266 ,$273 ,$296 ,$330 ,$396 ,$482 ,$577 ,$699 ,$625 ,$840 ,"$1,065 ","$1,103 ","$1,139 ","$1,080 ","$1,034 ","$1,004 "
Bao Viet Holdings (HOSE:BVH),HOSE:BVH,Vietnam,Asia-Pacific,Multi-line Insurance,Services,Insurance,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$311 ,$313 ,$331 ,$450 ,$556 ,$567 ,$559 ,$766 ,$855 ,$0 ,$992 
Siltronic AG (DB:WAF),DB:WAF,Germany,Europe,Semiconductor Equipment,TIME,Tech HW Equipment,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$913 ,$782 ,$890 ,$990 ,$0 ,$949 
"Shenzhen Bauing Construction Holding Group Co., Ltd. (SZSE:002047)",SZSE:002047,China,Asia-Pacific,Building Products,Engineering,Construction,$0 ,$0 ,$0 ,$0 ,$128 ,$130 ,$187 ,$196 ,$241 ,$257 ,$236 ,$199 ,$211 ,$195 ,$206 ,$541 ,$782 ,$991 ,$0 ,$982 
Premier Foods plc (LSE:PFD),LSE:PFD,United Kingdom,Europe,Packaged Foods and Meats,Resources/Process Material,Food,$0 ,"$1,049 ","$1,005 ","$1,038 ","$1,083 ","$1,069 ","$1,034 ",$969 ,"$1,178 ","$2,759 ","$3,196 ","$3,266 ","$2,993 ","$2,454 ","$2,156 ","$1,051 ",$0 ,$942 ,$947 ,$956 
Nichicon Corporation (TSE:6996),TSE:6996,Japan,Asia-Pacific,Electronic Components,TIME,Tech HW Equipment,$925 ,$902 ,$929 ,"$1,060 ",$926 ,$962 ,$882 ,$910 ,$934 ,"$1,038 ","$1,045 ",$800 ,$739 ,$926 ,$941 ,$794 ,$915 ,$935 ,$960 ,$879 
"Hansol Holdings Co., Ltd. (KOSE:A004150)",KOSE:A004150,South Korea,Asia-Pacific,Paper Products,Resources/Process Material,Paper & Pulp,"$1,172 ",$826 ,"$1,186 ","$1,394 ","$1,437 ","$1,498 ","$1,568 ","$1,465 ","$1,403 ","$1,536 ","$1,870 ","$2,311 ","$2,522 ","$1,539 ","$1,551 ","$1,723 ",$680 ,$804 ,$0 ,$971 
Viña Concha y Toro S.A. (SNSE:CONCHATORO),SNSE:CONCHATORO,Chile,Rest of World,Distillers and Vintners,Resources/Process Material,Beverage,$129 ,$138 ,$153 ,$171 ,$196 ,$234 ,$287 ,$308 ,$330 ,$437 ,$492 ,$540 ,$571 ,$646 ,$688 ,$727 ,$891 ,$949 ,$0 ,"$1,019 "
Pets at Home Group Plc (LSE:PETS),LSE:PETS,United Kingdom,Europe,Specialty Stores,Services,Retail,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$636 ,$668 ,$734 ,$817 ,$890 ,$974 ,"$1,019 "
SolarWorld Aktiengesellschaft (XTRA:SWVK),XTRA:SWVK,Germany,Europe,Semiconductors,TIME,Tech HW Equipment,$0 ,$6 ,$20 ,$88 ,$115 ,$114 ,$210 ,$378 ,$543 ,$726 ,$958 ,"$1,071 ","$1,394 ","$1,137 ",$640 ,$480 ,$634 ,$846 ,$0 ,$948 
"Endurance International Group Holdings, Inc. (NasdaqGS:EIGI)",NasdaqGS:EIGI,United States,North America,Internet Software and Services,TIME,SW & Computer Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$88 ,$190 ,$292 ,$520 ,$630 ,$741 ,$0 ,"$1,111 "
"Shanghai Dasheng Agriculture Finance Technology Co., Ltd. (SEHK:1103)",SEHK:1103,China,Asia-Pacific,Trading Companies and Distributors,Services,Trading & Distribution,$0 ,$0 ,$0 ,$0 ,$0 ,$45 ,$77 ,$99 ,$155 ,$148 ,$218 ,$230 ,$359 ,$468 ,$642 ,$855 ,$903 ,"$1,189 ",$0 ,$976 
Aareal Bank AG (XTRA:ARL),XTRA:ARL,Germany,Europe,Thrifts and Mortgage Finance,Services,Financial Services,$790 ,$934 ,$766 ,$446 ,$647 ,$520 ,$266 ,$443 ,$541 ,$764 ,$554 ,$488 ,$558 ,$614 ,$572 ,$605 ,$755 ,$874 ,$0 ,$947 
NORMA Group SE (DB:NOEJ),DB:NOEJ,Germany,Europe,Industrial Machinery,Engineering,Equipment Mech./Industrial,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$405 ,$482 ,$347 ,$516 ,$612 ,$636 ,$672 ,$735 ,$948 ,$0 ,$947 
Singapore Post Limited (SGX:S08),SGX:S08,Singapore,Asia-Pacific,Air Freight and Logistics,Services,Freight & Logistics,$0 ,$0 ,$248 ,$263 ,$270 ,$264 ,$273 ,$278 ,$305 ,$323 ,$352 ,$364 ,$401 ,$433 ,$443 ,$502 ,$615 ,$687 ,$904 ,"$1,031 "
Solar Applied Materials Technology Corp. (GTSM:1785),GTSM:1785,Taiwan,Asia-Pacific,Specialty Chemicals,Resources/Process Material,Chemicals,$0 ,$0 ,$0 ,$0 ,$0 ,$107 ,$168 ,$198 ,$420 ,$623 ,$672 ,"$1,074 ","$1,576 ","$2,318 ","$2,395 ","$1,109 ","$1,726 ","$1,991 ",$0 ,"$1,026 "
"Henan Mingtai Al.Industrial Co.,Ltd. (SHSE:601677)",SHSE:601677,China,Asia-Pacific,Aluminum,Resources/Process Material,Aluminum,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$602 ,$478 ,$724 ,$954 ,$764 ,$823 ,$946 ,$911 ,"$1,086 ","$1,086 "
Schweiter Technologies AG (SWX:SWTQ),SWX:SWTQ,Switzerland,Europe,Building Products,Engineering,Construction,$134 ,$137 ,$405 ,$427 ,$304 ,$257 ,$331 ,$326 ,$430 ,$462 ,$146 ,$121 ,$922 ,$777 ,$666 ,$678 ,$757 ,$908 ,$0 ,$975 
Signature Bank (NasdaqGS:SBNY),NasdaqGS:SBNY,United States,North America,Regional Banks,Services,Financial Services,$0 ,$0 ,$0 ,$0 ,$26 ,$47 ,$87 ,$115 ,$139 ,$143 ,$196 ,$254 ,$341 ,$450 ,$545 ,$639 ,$805 ,$969 ,$0 ,"$1,011 "
Mammy Mart Corporation (JASDAQ:9823),JASDAQ:9823,Japan,Asia-Pacific,Food Retail,Services,Retail,$0 ,$0 ,$448 ,$497 ,$524 ,$555 ,$580 ,$617 ,$674 ,$683 ,$710 ,$728 ,$721 ,$735 ,$712 ,$764 ,$822 ,$858 ,$895 ,$906 
"Eco's Co.,Ltd. (TSE:7520)",TSE:7520,Japan,Asia-Pacific,Food Retail,Services,Retail,$405 ,$482 ,$633 ,$751 ,$772 ,$801 ,$886 ,$934 ,"$1,004 ","$1,007 ","$1,053 ","$1,012 ",$941 ,$934 ,$949 ,$942 ,$959 ,$995 ,"$1,031 ","$1,009 "
"Toho Zinc Co., Ltd. (TSE:5707)",TSE:5707,Japan,Asia-Pacific,Diversified Metals and Mining,Resources/Process Material,Mining,$592 ,$505 ,$509 ,$505 ,$463 ,$469 ,$489 ,$557 ,$664 ,"$1,118 ","$1,289 ",$810 ,$731 ,$906 ,$926 ,$906 ,"$1,037 ","$1,056 ",$998 ,$928 
Ultra Electronics Holdings plc (LSE:ULE),LSE:ULE,United Kingdom,Europe,Aerospace and Defense,Auto & Transportation,Aerospace,$195 ,$237 ,$279 ,$294 ,$320 ,$349 ,$392 ,$420 ,$463 ,$507 ,$633 ,$799 ,$872 ,$898 ,$934 ,$915 ,$876 ,$887 ,$0 ,$934 
"Shanghai Highly (group) Co., Ltd. (SHSE:900910)",SHSE:900910,China,Asia-Pacific,Industrial Machinery,Engineering,Equipment Mech./Industrial,$176 ,$188 ,$260 ,$374 ,$312 ,$399 ,$521 ,$533 ,$506 ,$699 ,$696 ,$655 ,$930 ,"$1,187 ",$983 ,$961 ,$989 ,$853 ,$0 ,$978 
"Banco Comercial Português, S.A. (ENXTLS:BCP)",ENXTLS:BCP,Portugal,Europe,Diversified Banks,Services,Financial Services,"$1,262 ","$1,429 ","$2,586 ","$2,375 ","$2,188 ","$2,495 ","$2,679 ","$3,055 ","$2,888 ","$2,663 ","$2,185 ","$2,005 ","$2,253 ",$766 ,$423 ,"$1,835 ","$1,126 ","$1,715 ",$0 ,$944 
PHH Corporation (NYSE:PHH),NYSE:PHH,United States,North America,Thrifts and Mortgage Finance,Services,Financial Services,"$1,098 ",$830 ,$898 ,"$2,578 ","$2,339 ","$2,880 ","$2,856 ","$2,631 ","$2,427 ","$2,536 ","$1,844 ","$2,517 ","$2,347 ","$2,101 ","$3,172 ","$2,771 ",$959 ,$977 ,$0 ,"$1,009 "
Punjab National Bank (BSE:532461),BSE:532461,India,Emerging,Diversified Banks,Services,Financial Services,$0 ,$0 ,$0 ,$0 ,$411 ,$515 ,$648 ,$730 ,$765 ,$828 ,$883 ,"$1,362 ","$1,613 ","$1,969 ","$2,140 ","$2,264 ","$2,339 ","$2,392 ","$1,001 ","$1,001 "
"INC Research Holdings, Inc. (NasdaqGS:INCR)",NasdaqGS:INCR,United States,North America,Life Sciences Tools and Services,Engineering,Medical Devices,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$437 ,$579 ,$652 ,$810 ,$915 ,$0 ,"$1,030 "
CITIC Telecom International Holdings Limited (SEHK:1883),SEHK:1883,Hong Kong,Asia-Pacific,Alternative Carriers,TIME,Telecome Operators,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$135 ,$126 ,$176 ,$191 ,$320 ,$350 ,$382 ,$412 ,$465 ,$775 ,"$1,054 ","$1,075 ",$0 ,"$1,008 "
Gas Malaysia Berhad (KLSE:GASMSIA),KLSE:GASMSIA,Malaysia,Asia-Pacific,Gas Utilities,Services,Utilities,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$423 ,$394 ,$406 ,$450 ,$478 ,$521 ,$624 ,$813 ,$0 ,$938 
Itoki Corporation (TSE:7972),TSE:7972,Japan,Asia-Pacific,Office Services and Supplies,Services,Retail,$419 ,$385 ,$421 ,$388 ,$349 ,$343 ,$353 ,$660 ,$977 ,"$1,035 ",$929 ,$694 ,$728 ,$805 ,$922 ,$905 ,$900 ,$929 ,$0 ,$893 
"Kirindo Holdings Co., Ltd. (TSE:3194)",TSE:3194,Japan,Asia-Pacific,Drug Retail,Services,Retail,$0 ,$212 ,$223 ,$246 ,$291 ,$342 ,$422 ,$509 ,$583 ,$637 ,$928 ,$933 ,$918 ,$878 ,$894 ,$890 ,$901 ,$942 ,$987 ,"$1,007 "
"Patterson-UTI Energy, Inc. (NasdaqGS:PTEN)",NasdaqGS:PTEN,United States,North America,Oil and Gas Drilling,Resources/Process Material,Oil & Gas,$187 ,$152 ,$308 ,$990 ,$528 ,$776 ,"$1,001 ","$1,740 ","$2,547 ","$2,114 ","$2,209 ",$782 ,"$1,463 ","$2,566 ","$2,723 ","$2,716 ","$3,182 ","$1,891 ",$916 ,$916 
"Beijing Originwater Technology Co., Ltd. (SZSE:300070)",SZSE:300070,China,Asia-Pacific,Environmental and Facilities Services,Services,Environmental,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$30 ,$32 ,$46 ,$73 ,$149 ,$257 ,$455 ,$501 ,$754 ,$0 ,$976 
Ecoplastic Corporation (KOSDAQ:A038110),KOSDAQ:A038110,South Korea,Asia-Pacific,Auto Parts and Equipment,Auto & Transportation,Tier 1,$0 ,$0 ,$0 ,$0 ,$158 ,$176 ,$213 ,$422 ,$458 ,$308 ,$317 ,$308 ,$392 ,$631 ,$725 ,$844 ,$938 ,$996 ,$0 ,$966 
AMAG Austria Metall AG (WBAG:AMAG),WBAG:AMAG,Austria,Europe,Aluminum,Resources/Process Material,Aluminum,$623 ,$626 ,$915 ,$699 ,$624 ,$583 ,$646 ,$761 ,$0 ,$0 ,$0 ,$0 ,$0 ,$856 ,$857 ,$827 ,$866 ,$971 ,$0 ,$953 
"H&E Equipment Services, Inc. (NasdaqGS:HEES)",NasdaqGS:HEES,United States,North America,Trading Companies and Distributors,Services,Trading & Distribution,$0 ,$221 ,$232 ,$306 ,$352 ,$414 ,$478 ,$600 ,$804 ,"$1,003 ","$1,069 ",$680 ,$574 ,$721 ,$837 ,$988 ,"$1,090 ","$1,040 ",$0 ,$978 
"Winnebago Industries, Inc. (NYSE:WGO)",NYSE:WGO,United States,North America,Automobile Manufacturers,Auto & Transportation,Auto OEM,$525 ,$668 ,$743 ,$682 ,$828 ,$845 ,"$1,114 ",$992 ,$864 ,$870 ,$604 ,$212 ,$449 ,$496 ,$582 ,$803 ,$945 ,$977 ,$975 ,"$1,006 "
NICHIDEN Corporation (TSE:9902),TSE:9902,Japan,Asia-Pacific,Trading Companies and Distributors,Services,Trading & Distribution,$613 ,$503 ,$544 ,$648 ,$529 ,$550 ,$626 ,$0 ,$784 ,$821 ,$811 ,$706 ,$513 ,$0 ,$0 ,$0 ,$0 ,$0 ,$887 ,$897 
"Xinjiang Joinworld Co.,Ltd. (SHSE:600888)",SHSE:600888,China,Asia-Pacific,Aluminum,Resources/Process Material,Aluminum,$40 ,$46 ,$61 ,$61 ,$58 ,$70 ,$85 ,$86 ,$113 ,$154 ,$141 ,$154 ,$233 ,$291 ,$327 ,$540 ,$774 ,"$1,103 ",$0 ,$974 
Vardhman Textiles Limited (BSE:502986),BSE:502986,India,Emerging,Textiles,Resources/Process Material,Textiles,$0 ,$0 ,$0 ,$115 ,$143 ,$150 ,$181 ,$285 ,$292 ,$324 ,$357 ,$444 ,$502 ,$619 ,$695 ,$744 ,$923 ,"$1,034 ",$993 ,$993 
Transport International Holdings Limited (SEHK:62),SEHK:62,Hong Kong,Asia-Pacific,Trucking,Auto & Transportation,Freight & Logistics,$710 ,$771 ,$837 ,$899 ,$883 ,$843 ,$852 ,$832 ,"$1,121 ","$1,548 ",$949 ,$882 ,$865 ,$899 ,$927 ,$958 ,$977 ,$995 ,$0 ,"$1,005 "
zooplus AG (DB:ZO1),DB:ZO1,Germany,Europe,Internet and Direct Marketing Retail,TIME,Online Retail,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$21 ,$29 ,$38 ,$58 ,$89 ,$136 ,$204 ,$269 ,$353 ,$449 ,$600 ,$786 ,$0 ,$941 
Chorus Aviation Inc. (TSX:CHR),TSX:CHR,Canada,North America,Airlines,Services,Airlines,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$13 ,$659 ,"$1,223 ","$1,101 ","$1,111 ","$1,244 ","$1,278 ","$1,249 ","$1,245 ","$1,148 ",$954 ,$954 
I.T Limited (SEHK:999),SEHK:999,Hong Kong,Asia-Pacific,Apparel Retail,Services,Retail,$0 ,$0 ,$0 ,$0 ,$90 ,$94 ,$105 ,$134 ,$169 ,$197 ,$260 ,$352 ,$386 ,$494 ,$740 ,$843 ,$869 ,$924 ,$971 ,"$1,004 "
"Samji Electronics Co., Ltd. (KOSDAQ:A037460)",KOSDAQ:A037460,South Korea,Asia-Pacific,Communications Equipment,TIME,Telecome Operators,$0 ,$0 ,$0 ,$30 ,$0 ,$0 ,$40 ,$45 ,$38 ,$28 ,$32 ,$17 ,$0 ,$0 ,$0 ,$0 ,$30 ,$726 ,$0 ,$963 
DFS Furniture plc (LSE:DFS),LSE:DFS,United Kingdom,Europe,Home Furnishings,Resources/Process Material,Personal & Household,$344 ,$363 ,$439 ,$493 ,$567 ,$613 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$697 ,$754 ,$806 ,$862 ,$928 ,$928 
"Guangdong No.2 Hydropower Engineering Company, Ltd (SZSE:002060)",SZSE:002060,China,Asia-Pacific,Construction and Engineering,Engineering,Construction,$0 ,$0 ,$0 ,$0 ,$0 ,$189 ,$214 ,$252 ,$282 ,$310 ,$343 ,$469 ,$571 ,$584 ,$655 ,$784 ,$872 ,$967 ,$0 ,$971 
"Black Knight Financial Services, Inc. (NYSE:BKFS)",NYSE:BKFS,United States,North America,Data Processing and Outsourced Services,TIME,SW & Computer Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$60 ,$852 ,$931 ,$0 ,"$1,026 "
"NOMURA Co., Ltd. (TSE:9716)",TSE:9716,Japan,Asia-Pacific,Research and Consulting Services,Services,Financial Services,$581 ,$460 ,$507 ,$587 ,$611 ,$573 ,$605 ,$642 ,$692 ,$718 ,$952 ,$763 ,$703 ,$788 ,$765 ,$801 ,$860 ,$899 ,$947 ,"$1,001 "
Arbonia AG (SWX:ARBN),SWX:ARBN,Switzerland,Europe,Building Products,Engineering,Construction,$390 ,$381 ,$413 ,$565 ,$687 ,$697 ,"$1,019 ","$1,114 ","$1,233 ","$1,460 ","$1,559 ","$1,372 ","$1,401 ","$1,336 ","$1,206 ",$995 ,"$1,008 ",$935 ,$0 ,"$1,003 "
